,month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,year,state_id
29,2024-03-01,72730,"FARMINGTON, AR",362000.0,-0.0648,-0.1256,28.0,-0.1765,-0.1642,65.0,-0.2097,0.1765,16.0,0.0,-0.4667,0.0,,-1.0,12.0,0.2,0.5,41.0,-0.2807,-0.1717,193.0,-0.0022,-0.0058,1972.0,-0.0289,-0.0473,463986.0,0.0137,0.1046,68.0,-0.2402,-0.1758,1.4643,-0.2122,-0.0133,1.0,2024,AR
30,2024-03-01,83540,"LAPWAI, ID",200000.0,0.0,-0.726,1.0,0.0,0.0,43.0,1.3243,-0.0115,0.0,,,0.0,,,0.0,,,,,,500.0,0.0,2.0904,400.0,0.0,-0.9113,200000.0,0.0,-0.726,1.0,0.0,-0.6667,,,,1.0,2024,ID
31,2024-03-01,87579,"VADITO, NM",3500000.0,0.0,10.5702,1.0,0.0,-0.5,260.0,0.1379,0.6561,0.0,,,0.0,,,0.0,,,2.0,0.0,1.0,1167.0,0.0,5.2831,3000.0,0.0,0.7351,3500000.0,0.0,10.5702,3.0,0.0,0.0,2.0,0.0,1.5,1.0,2024,NM
32,2024-03-01,25315,"CHARLESTON, WV",66950.0,-0.1248,0.0202,3.0,-0.3333,-0.3333,82.0,0.3416,1.4328,0.0,,-1.0,0.0,,,0.0,,,1.0,0.0,-0.75,61.0,0.0583,0.3157,1252.0,-0.0515,-0.0821,67967.0,-0.0825,0.0583,4.0,-0.2,-0.5,0.3333,0.1111,-0.5556,1.0,2024,WV
33,2024-03-01,18505,"SCRANTON, PA",159900.0,0.0667,-0.0346,15.0,-0.0323,-0.0323,45.0,-0.1089,-0.1589,12.0,0.2,0.0,0.0,,,4.0,0.0,1.0,16.0,-0.0857,-0.3191,130.0,0.1069,0.1301,1340.0,-0.097,-0.1067,197631.0,0.0355,0.1038,31.0,-0.0606,-0.2051,1.0667,-0.0624,-0.4495,0.0,2024,PA
34,2024-03-01,31021,"DUBLIN, GA",248800.0,-0.0004,-0.139,59.0,0.0442,0.0536,59.0,-0.0709,-0.3516,36.0,0.5,0.6364,0.0,,,12.0,-0.1429,-0.1429,38.0,0.3333,0.617,125.0,-0.021,0.0869,2038.0,0.0127,0.0002,273608.0,-0.0324,-0.1129,94.0,0.1124,0.2051,0.6441,0.1396,0.2244,1.0,2024,GA
35,2024-03-01,28383,"ROWLAND, NC",105000.0,0.0,-0.6934,5.0,0.0,0.25,67.0,0.8873,-0.036,0.0,,,0.0,,,0.0,,-1.0,2.0,0.0,-0.5556,58.0,0.0,-0.5357,2133.0,0.0,-0.1019,113980.0,-0.0193,-0.6479,6.0,-0.0769,-0.25,0.4,0.0,-0.725,1.0,2024,NC
36,2024-03-01,58047,"HORACE, ND",373675.0,0.0338,0.1019,126.0,0.1776,0.0588,57.0,-0.25,-0.0806,24.0,-0.3684,-0.25,0.0,-1.0,-1.0,8.0,-0.3333,0.3333,42.0,0.75,7.4,170.0,0.0026,0.045,2183.0,0.0,0.0158,439004.0,0.0104,0.0749,168.0,0.2923,0.3603,0.3333,0.109,0.2913,0.0,2024,ND
37,2024-03-01,72640,"HASTY, AR",617500.0,1.0003,-0.2134,2.0,-0.5,1.0,113.0,-0.2638,6.2903,0.0,,-1.0,0.0,,,0.0,,,2.0,,,476.0,0.685,0.5762,1328.0,-0.3148,-0.4894,617500.0,0.4574,-0.2134,4.0,0.0,3.0,1.0,,,1.0,2024,AR
38,2024-03-01,2911,"NORTH PROVIDENCE, RI",364450.0,0.0125,0.0126,6.0,0.2,-0.2,27.0,-0.1908,-0.2789,8.0,0.3333,0.3333,0.0,,,4.0,,,13.0,0.04,-0.1333,199.0,-0.1518,-0.2657,1944.0,0.3088,0.4668,368800.0,-0.0063,0.0714,19.0,0.0857,-0.1163,2.1667,-0.3333,0.1667,0.0,2024,RI
39,2024-03-01,48649,"OAKLEY, MI",379900.0,0.865,1.7743,1.0,-0.6667,-0.3333,77.0,1.0397,6.3333,0.0,,-1.0,0.0,,,0.0,-1.0,,1.0,-0.6667,,283.0,0.7385,1.692,1344.0,0.0275,-0.0568,379900.0,0.7131,1.7743,2.0,-0.6667,0.3333,1.0,0.0,,1.0,2024,MI
40,2024-03-01,51027,"IRETON, IA",375000.0,0.0,,1.0,0.0,,33.0,1.75,,0.0,,,0.0,,,0.0,,,2.0,-0.2,,109.0,0.0,,3456.0,0.0,,375000.0,0.0,,3.0,0.0,,2.0,-0.5,,0.0,2024,IA
41,2024-03-01,26234,"ROCK CAVE, WV",437000.0,0.9422,0.52,0.0,-1.0,-1.0,162.0,-0.216,0.3863,0.0,,,0.0,,,0.0,,,1.0,-0.5,0.0,259.0,0.9594,0.5792,1690.0,-0.0059,-0.0231,437000.0,0.9422,0.52,1.0,-0.75,-0.8333,,,,1.0,2024,WV
42,2024-03-01,76306,"WICHITA FALLS, TX",199500.0,0.1441,0.4253,28.0,-0.0508,0.037,42.0,-0.2398,0.0244,16.0,-0.1111,-0.2,0.0,,-1.0,8.0,-0.4286,0.0,6.0,-0.2941,-0.4286,132.0,0.0401,0.1566,1539.0,0.1009,0.2635,206013.0,0.1042,0.2617,35.0,-0.0909,-0.0789,0.2143,-0.0738,-0.1746,0.0,2024,TX
43,2024-03-01,42303,"OWENSBORO, KY",309700.0,0.0591,0.0304,54.0,-0.2,-0.1628,38.0,-0.044,-0.2245,48.0,0.2632,0.0,0.0,,,24.0,-0.0769,-0.1429,55.0,0.25,0.1957,156.0,0.0014,0.1306,1965.0,0.0108,-0.0586,334533.0,0.0501,0.0172,110.0,-0.0222,-0.0045,1.0185,0.3667,0.3053,0.0,2024,KY
44,2024-03-01,56446,"EAGLE BEND, MN",178000.0,-0.3407,-0.2088,4.0,0.3333,0.6,24.0,-0.7814,-0.867,0.0,,,0.0,,,0.0,-1.0,,1.0,0.0,-0.6,74.0,-0.2842,-0.2631,2304.0,0.0,-0.0229,164333.0,-0.2946,-0.211,5.0,0.25,0.0,0.25,-0.0833,-0.75,1.0,2024,MN
45,2024-03-01,79350,"NEW DEAL, TX",141250.0,-0.0583,,2.0,0.0,,46.0,-0.193,,0.0,,,0.0,,,0.0,,,1.0,0.0,,92.0,-0.0391,,2019.0,0.0,,141250.0,-0.0583,,3.0,0.0,,0.5,0.0,,0.0,2024,TX
46,2024-03-01,75481,"SULPHUR BLUFF, TX",685000.0,0.0,-0.6441,2.0,0.0,0.0,90.0,0.4553,0.5042,0.0,,,0.0,,,0.0,,,2.0,,,228.0,0.0,-0.6775,3000.0,0.0,0.0623,685000.0,0.0,-0.6441,2.0,0.0,0.0,1.0,,,1.0,2024,TX
47,2024-03-01,49269,"PARMA, MI",165000.0,-0.0943,-0.2902,5.0,0.6667,-0.2308,22.0,-0.8147,-0.6767,8.0,1.0,0.3333,0.0,,,0.0,,-1.0,7.0,-0.125,0.4,102.0,-0.169,-0.2536,1618.0,0.1733,-0.2662,178186.0,-0.1268,-0.4758,14.0,0.3333,0.1667,1.4,-1.2667,0.6308,1.0,2024,MI
48,2024-03-01,45816,"BENTON RIDGE, OH",145000.0,,0.1375,1.0,,-0.5,16.0,,-0.7311,0.0,,,0.0,,,0.0,,,1.0,,0.0,95.0,,0.2851,1532.0,,-0.1896,145000.0,,0.1375,2.0,,-0.3333,1.0,,0.5,1.0,2024,OH
49,2024-03-01,29032,"CASSATT, SC",232000.0,-0.0064,0.1436,5.0,-0.1667,0.1111,53.0,0.1099,4.0476,0.0,,-1.0,0.0,,,0.0,,,5.0,0.0,,154.0,0.0553,0.05,1561.0,-0.1093,0.1144,342200.0,0.2643,0.7179,10.0,-0.1304,1.2222,1.0,0.1667,,1.0,2024,SC
50,2024-03-01,93505,"CALIFORNIA CITY, CA",312495.0,0.005,0.0557,66.0,-0.1081,0.2222,62.0,0.0041,-0.1633,32.0,0.0667,0.4545,0.0,,-1.0,8.0,-0.4286,0.0,48.0,0.2152,0.0,194.0,0.0011,0.0902,1658.0,0.0048,-0.0376,324880.0,0.0152,0.0648,113.0,0.0135,0.1472,0.7273,0.1935,-0.1616,0.0,2024,CA
51,2024-02-01,79010,"BOYS RANCH, TX",699000.0,0.0,0.1652,1.0,0.0,0.0,196.0,0.2444,7.0,0.0,,,0.0,,,0.0,,,1.0,,,269.0,0.0,0.271,2600.0,0.0,-0.0832,699000.0,0.0,0.1652,2.0,1.0,1.0,1.0,,,1.0,2024,TX
52,2024-02-01,20606,"ABELL, MD",699900.0,0.3738,-0.0667,1.0,-0.5,0.0,11.0,-0.7067,-0.7684,0.0,,,0.0,,,0.0,-1.0,,1.0,,0.0,505.0,0.3321,-0.0667,1386.0,0.0476,0.0,699900.0,0.3738,-0.0667,2.0,0.0,0.3333,1.0,,0.0,1.0,2024,MD
53,2024-02-01,6763,"MORRIS, CT",642450.0,0.0961,-0.1769,6.0,0.0,-0.3684,74.0,0.4439,1.2946,4.0,,1.0,0.0,,,0.0,,,3.0,0.5,0.2,355.0,0.3294,0.2002,2472.0,0.0,0.0249,827267.0,0.1579,0.061,8.0,0.0,-0.3333,0.5,0.1667,0.2368,1.0,2024,CT
54,2024-02-01,52726,"BLUE GRASS, IA",511250.0,0.2032,0.329,9.0,0.2,0.3846,99.0,0.1716,0.6098,4.0,0.0,1.0,0.0,,,0.0,,-1.0,5.0,-0.2308,-0.2857,185.0,0.0654,0.2807,2615.0,0.0653,-0.0295,510413.0,0.0952,0.1488,13.0,-0.1333,-0.0714,0.5556,-0.3111,-0.5214,1.0,2024,IA
55,2024-02-01,95358,"MODESTO, CA",469888.0,0.0009,0.1241,14.0,-0.2,-0.1515,43.0,0.1316,-0.4788,12.0,-0.1429,-0.1429,4.0,,,4.0,,,18.0,0.3333,0.3333,305.0,-0.0082,0.0435,1661.0,0.0368,0.0779,571157.0,-0.1716,-0.0252,32.0,0.0323,0.0323,1.2857,0.5143,0.4675,0.0,2024,CA
56,2024-02-01,49839,"GRAND MARAIS, MI",399900.0,-0.0335,0.1139,9.0,0.6364,0.2,41.0,-0.6481,-0.5951,0.0,,,0.0,,,0.0,,,1.0,0.0,1.0,342.0,0.0364,0.7307,1163.0,-0.191,-0.251,529967.0,-0.1406,0.2975,10.0,0.6667,0.25,0.1111,-0.0707,0.0444,0.0,2024,MI
57,2024-02-01,20855,"DERWOOD, MD",695900.0,0.031,0.0253,4.0,-0.2727,-0.6522,36.0,-0.5325,0.44,8.0,1.0,-0.5556,0.0,,,0.0,,-1.0,9.0,0.2857,-0.3571,284.0,0.1169,-0.0461,2364.0,0.0064,0.1034,720817.0,-0.132,0.0166,12.0,-0.0769,-0.5102,2.25,0.9773,1.0326,0.0,2024,MD
58,2024-02-01,75459,"HOWE, TX",310000.0,-0.0606,-0.0896,22.0,0.0732,2.3846,33.0,-0.763,-0.6118,12.0,0.2,2.0,0.0,,,12.0,1.0,5.0,7.0,0.0769,0.75,177.0,0.0361,0.0881,1800.0,-0.0769,-0.1595,378621.0,-0.0829,-0.1188,30.0,0.0909,1.7273,0.3182,0.0011,-0.2972,1.0,2024,TX
59,2024-02-01,82925,"CORA, WY",437500.0,-0.2045,-0.8443,2.0,1.0,-0.5,128.0,0.0622,-0.1111,0.0,,,0.0,,,0.0,,-1.0,1.0,0.0,-0.3333,420.0,-0.2178,0.0249,1048.0,0.0234,-0.8132,437500.0,-0.2045,-0.855,2.0,0.0,-0.6667,0.5,-0.5,0.125,1.0,2024,WY
